t,Nu
0.0003,0.99999043
0.0054,1.00047137
0.0108,1.00362035
0.0162,1.00944427
0.0216,1.01616742
0.0271,1.02247516
0.0325,1.02785701
0.0379,1.03227793
0.0433,1.03588653
0.0487,1.03886303
0.0541,1.04136031
0.0595,1.04349256
0.0649,1.04533984
0.0703,1.04695731
0.0757,1.04838352
0.0812,1.04964607
0.0866,1.05076595
0.0920,1.05176039
0.0974,1.05264311
0.1028,1.05342635
0.1082,1.05412082
0.1136,1.05473663
0.1190,1.05528257
0.1244,1.05576566
0.1298,1.05619314
0.1353,1.05657123
0.1407,1.05690559
0.1461,1.05720119
0.1515,1.05746247
0.1569,1.05769307
0.1623,1.05789663
0.1677,1.05807613
0.1731,1.05823468
0.1785,1.05837471
0.1840,1.05849844
0.1894,1.05860776
0.1948,1.05870438
0.2002,1.05878960
0.2056,1.05886469
0.2110,1.05893089
0.2164,1.05898918
0.2218,1.05904031
0.2272,1.05908449
0.2326,1.05912247
0.2381,1.05915578
0.2435,1.05918471
0.2489,1.05921015
0.2543,1.05923285
0.2597,1.05925314
0.2651,1.05927118
0.2705,1.05928727
0.2759,1.05930140
0.2813,1.05931392
0.2867,1.05932419
0.2922,1.05933208
0.2976,1.05933861
0.3030,1.05934412
0.3084,1.05934917
0.3138,1.05935377
0.3192,1.05935762
0.3246,1.05936101
0.3300,1.05936237
0.3354,1.05936288
0.3409,1.05936338
0.3463,1.05936388
0.3517,1.05936438
0.3571,1.05936487
0.3625,1.05936536
0.3679,1.05936584
0.3733,1.05936632
0.3787,1.05936680
0.3841,1.05936727
0.3895,1.05936774
0.3950,1.05936821
0.4004,1.05936868
0.4058,1.05936914
0.4112,1.05936960
0.4166,1.05937005
0.4220,1.05937050
0.4274,1.05937095
0.4328,1.05937140
0.4382,1.05937184
0.4437,1.05937228
0.4491,1.05937272
0.4545,1.05937315
0.4599,1.05937358
0.4653,1.05937401
0.4707,1.05937443
0.4761,1.05937485
0.4815,1.05937527
0.4869,1.05937569
0.4923,1.05937610
0.4978,1.05937651
0.5032,1.05937692
0.5086,1.05937732
0.5140,1.05937772
0.5194,1.05937812
0.5248,1.05937851
0.5302,1.05937891
0.5356,1.05937930
0.5410,1.05937968
0.5464,1.05938007
0.5519,1.05938045
0.5573,1.05938083
0.5627,1.05938120
0.5681,1.05938158
0.5735,1.05938195
0.5789,1.05938232
0.5843,1.05938268
0.5897,1.05938305
0.5951,1.05938341
0.6006,1.05938376
0.6060,1.05938412
0.6114,1.05938447
0.6168,1.05938482
0.6222,1.05938517
0.6276,1.05938551
0.6330,1.05938586
0.6384,1.05938620
0.6438,1.05938653
0.6492,1.05938687
0.6547,1.05938720
0.6601,1.05938753
0.6655,1.05938786
0.6709,1.05938818
0.6763,1.05938851
0.6817,1.05938883
0.6871,1.05938915
0.6925,1.05938946
0.6979,1.05938978
0.7033,1.05939009
0.7088,1.05939040
0.7142,1.05939071
0.7196,1.05939101
0.7250,1.05939131
0.7304,1.05939162
0.7358,1.05939191
0.7412,1.05939221
0.7466,1.05939250
0.7520,1.05939280
0.7575,1.05939309
0.7629,1.05939337
0.7683,1.05939366
0.7737,1.05939394
0.7791,1.05939423
0.7845,1.05939451
0.7899,1.05939478
0.7953,1.05939506
0.8007,1.05939533
0.8061,1.05939560
0.8116,1.05939587
0.8170,1.05939614
0.8224,1.05939641
0.8278,1.05939667
0.8332,1.05939693
0.8386,1.05939719
0.8440,1.05939745
0.8494,1.05939771
0.8548,1.05939796
0.8602,1.05939822
0.8657,1.05939847
0.8711,1.05939872
0.8765,1.05939896
0.8819,1.05939921
0.8873,1.05939945
0.8927,1.05939969
0.8981,1.05939994
0.9035,1.05940017
0.9089,1.05940041
0.9144,1.05940065
0.9198,1.05940088
0.9252,1.05940111
0.9306,1.05940134
0.9360,1.05940157
0.9414,1.05940180
0.9468,1.05940202
0.9522,1.05940224
0.9576,1.05940247
0.9630,1.05940269
0.9685,1.05940291
0.9739,1.05940312
0.9793,1.05940334
0.9847,1.05940355
0.9901,1.05940376
0.9955,1.05940398
1.0009,1.05940419
1.0063,1.05940439
1.0117,1.05940460
1.0171,1.05940480
1.0226,1.05940501
1.0280,1.05940521
1.0334,1.05940541
1.0388,1.05940561
1.0442,1.05940581
1.0496,1.05940600
1.0550,1.05940620
1.0604,1.05940639
1.0658,1.05940658
1.0713,1.05940677
1.0767,1.05940696
1.0821,1.05940715
1.0875,1.05940734
1.0929,1.05940752
1.0983,1.05940771
1.1037,1.05940789
1.1091,1.05940807
1.1145,1.05940825
1.1199,1.05940843
1.1254,1.05940861
1.1308,1.05940878
1.1362,1.05940896
1.1416,1.05940913
1.1470,1.05940930
1.1524,1.05940948
1.1578,1.05940965
1.1632,1.05940981
1.1686,1.05940998
1.1740,1.05941015
1.1795,1.05941031
1.1849,1.05941048
1.1903,1.05941064
1.1957,1.05941080
