t,Nu
0.0003,0.99999003
0.0054,1.00055416
0.0108,1.00895807
0.0162,1.03052054
0.0216,1.05662043
0.0271,1.08080573
0.0325,1.10086772
0.0379,1.11667172
0.0433,1.12881316
0.0487,1.13803046
0.0541,1.14499177
0.0595,1.15023978
0.0649,1.15419544
0.0703,1.15717852
0.0757,1.15942966
0.0812,1.16112970
0.0866,1.16241482
0.0920,1.16338732
0.0974,1.16412372
0.1028,1.16468129
0.1082,1.16510319
0.1136,1.16542269
0.1190,1.16566569
0.1244,1.16585066
0.1298,1.16599110
0.1353,1.16609770
0.1407,1.16617847
0.1461,1.16623974
0.1515,1.16628632
0.1569,1.16632192
0.1623,1.16634905
0.1677,1.16636973
0.1731,1.16638549
0.1785,1.16639754
0.1840,1.16640675
0.1894,1.16641379
0.1948,1.16641916
0.2002,1.16642325
0.2056,1.16642637
0.2110,1.16642876
0.2164,1.16643059
0.2218,1.16643199
0.2272,1.16643308
0.2326,1.16643393
0.2381,1.16643459
0.2435,1.16643510
0.2489,1.16643550
0.2543,1.16643582
0.2597,1.16643608
0.2651,1.16643628
0.2705,1.16643642
0.2759,1.16643656
0.2813,1.16643668
0.2867,1.16643677
0.2922,1.16643685
0.2976,1.16643692
0.3030,1.16643699
0.3084,1.16643705
0.3138,1.16643710
0.3192,1.16643714
0.3246,1.16643718
0.3300,1.16643721
0.3354,1.16643724
0.3409,1.16643727
0.3463,1.16643729
0.3517,1.16643731
0.3571,1.16643732
0.3625,1.16643734
0.3679,1.16643735
0.3733,1.16643737
0.3787,1.16643740
0.3841,1.16643741
0.3895,1.16643743
0.3950,1.16643743
0.4004,1.16643744
0.4058,1.16643744
0.4112,1.16643744
0.4166,1.16643744
0.4220,1.16643745
0.4274,1.16643745
0.4328,1.16643745
0.4382,1.16643745
0.4437,1.16643746
0.4491,1.16643746
0.4545,1.16643746
0.4599,1.16643746
0.4653,1.16643747
0.4707,1.16643747
0.4761,1.16643747
0.4815,1.16643748
0.4869,1.16643748
0.4923,1.16643748
0.4978,1.16643750
0.5032,1.16643753
0.5086,1.16643755
0.5140,1.16643756
0.5194,1.16643757
0.5248,1.16643758
0.5302,1.16643758
0.5356,1.16643758
0.5410,1.16643758
0.5464,1.16643758
0.5519,1.16643757
0.5573,1.16643757
0.5627,1.16643757
0.5681,1.16643757
0.5735,1.16643757
0.5789,1.16643757
0.5843,1.16643756
0.5897,1.16643756
0.5951,1.16643756
0.6006,1.16643756
0.6060,1.16643756
0.6114,1.16643756
0.6168,1.16643756
0.6222,1.16643756
0.6276,1.16643756
0.6330,1.16643756
0.6384,1.16643756
0.6438,1.16643756
0.6492,1.16643756
0.6547,1.16643756
0.6601,1.16643756
0.6655,1.16643756
0.6709,1.16643756
0.6763,1.16643756
0.6817,1.16643756
0.6871,1.16643756
0.6925,1.16643756
0.6979,1.16643756
0.7033,1.16643756
0.7088,1.16643756
0.7142,1.16643756
0.7196,1.16643756
0.7250,1.16643756
0.7304,1.16643756
0.7358,1.16643756
0.7412,1.16643756
0.7466,1.16643756
0.7520,1.16643756
0.7575,1.16643756
0.7629,1.16643756
0.7683,1.16643756
0.7737,1.16643756
0.7791,1.16643756
0.7845,1.16643756
0.7899,1.16643756
0.7953,1.16643756
0.8007,1.16643756
0.8061,1.16643756
0.8116,1.16643756
0.8170,1.16643756
0.8224,1.16643756
0.8278,1.16643756
0.8332,1.16643756
0.8386,1.16643756
0.8440,1.16643756
0.8494,1.16643756
0.8548,1.16643756
0.8602,1.16643756
0.8657,1.16643756
0.8711,1.16643756
0.8765,1.16643756
0.8819,1.16643756
0.8873,1.16643756
0.8927,1.16643756
0.8981,1.16643756
0.9035,1.16643756
0.9089,1.16643756
0.9144,1.16643756
0.9198,1.16643756
0.9252,1.16643756
0.9306,1.16643756
0.9360,1.16643756
0.9414,1.16643756
0.9468,1.16643756
0.9522,1.16643756
0.9576,1.16643756
0.9630,1.16643756
0.9685,1.16643756
0.9739,1.16643756
0.9793,1.16643756
0.9847,1.16643756
0.9901,1.16643756
0.9955,1.16643756
1.0009,1.16643756
1.0063,1.16643756
1.0117,1.16643756
1.0171,1.16643756
1.0226,1.16643756
1.0280,1.16643756
1.0334,1.16643756
1.0388,1.16643756
1.0442,1.16643756
1.0496,1.16643756
1.0550,1.16643756
1.0604,1.16643756
1.0658,1.16643756
1.0713,1.16643756
1.0767,1.16643756
1.0821,1.16643756
1.0875,1.16643756
1.0929,1.16643756
1.0983,1.16643756
1.1037,1.16643756
1.1091,1.16643756
1.1145,1.16643756
1.1199,1.16643756
1.1254,1.16643756
1.1308,1.16643756
1.1362,1.16643756
1.1416,1.16643756
1.1470,1.16643756
1.1524,1.16643756
1.1578,1.16643756
1.1632,1.16643756
1.1686,1.16643756
1.1740,1.16643756
1.1795,1.16643756
1.1849,1.16643756
1.1903,1.16643756
1.1957,1.16643756
