t,Nu
0.3029,2.07950439
0.3040,2.07950553
0.3050,2.07950665
0.3060,2.07950775
0.3070,2.07950885
0.3080,2.07950992
0.3090,2.07951099
0.3101,2.07951204
0.3111,2.07951308
0.3121,2.07951410
0.3131,2.07951511
0.3141,2.07951611
0.3151,2.07951710
0.3162,2.07951807
0.3172,2.07951903
0.3182,2.07951998
0.3192,2.07952092
0.3202,2.07952184
0.3212,2.07952276
0.3223,2.07952366
0.3233,2.07952455
0.3243,2.07952543
0.3253,2.07952629
0.3263,2.07952715
0.3273,2.07952800
0.3284,2.07952883
0.3294,2.07952966
0.3304,2.07953047
0.3314,2.07953128
0.3324,2.07953207
0.3334,2.07953286
0.3345,2.07953363
0.3355,2.07953440
0.3365,2.07953515
0.3375,2.07953590
0.3385,2.07953663
0.3395,2.07953736
0.3405,2.07953808
0.3416,2.07953878
0.3426,2.07953948
0.3436,2.07954017
0.3446,2.07954086
0.3456,2.07954153
0.3466,2.07954219
0.3477,2.07954285
0.3487,2.07954350
0.3497,2.07954414
0.3507,2.07954477
0.3517,2.07954540
0.3527,2.07954601
0.3538,2.07954662
0.3548,2.07954722
0.3558,2.07954781
0.3568,2.07954840
0.3578,2.07954898
0.3588,2.07954955
0.3599,2.07955011
0.3609,2.07955067
0.3619,2.07955122
0.3629,2.07955176
0.3639,2.07955230
0.3649,2.07955283
0.3660,2.07955335
0.3670,2.07955386
0.3680,2.07955437
0.3690,2.07955488
0.3700,2.07955537
0.3710,2.07955586
0.3721,2.07955635
0.3731,2.07955683
0.3741,2.07955730
0.3751,2.07955776
0.3761,2.07955822
0.3771,2.07955868
0.3782,2.07955913
0.3792,2.07955957
0.3802,2.07956001
0.3812,2.07956044
0.3822,2.07956087
0.3832,2.07956129
0.3843,2.07956170
0.3853,2.07956212
0.3863,2.07956252
0.3873,2.07956292
0.3883,2.07956332
0.3893,2.07956371
0.3904,2.07956409
0.3914,2.07956447
0.3924,2.07956485
0.3934,2.07956522
0.3944,2.07956559
0.3954,2.07956595
0.3965,2.07956631
0.3975,2.07956666
0.3985,2.07956701
0.3995,2.07956735
0.4005,2.07956769
0.4015,2.07956803
0.4026,2.07956836
0.4036,2.07956869
0.4046,2.07956901
0.4056,2.07956933
0.4066,2.07956964
0.4076,2.07956996
0.4087,2.07957026
0.4097,2.07957057
0.4107,2.07957087
0.4117,2.07957116
0.4127,2.07957145
0.4137,2.07957174
0.4148,2.07957203
0.4158,2.07957231
0.4168,2.07957259
0.4178,2.07957286
0.4188,2.07957313
0.4198,2.07957340
0.4209,2.07957366
0.4219,2.07957392
0.4229,2.07957418
0.4239,2.07957443
0.4249,2.07957469
0.4259,2.07957493
0.4270,2.07957518
0.4280,2.07957542
0.4290,2.07957566
0.4300,2.07957589
0.4310,2.07957613
0.4320,2.07957636
0.4331,2.07957658
0.4341,2.07957681
0.4351,2.07957703
0.4361,2.07957725
0.4371,2.07957747
0.4381,2.07957768
0.4392,2.07957789
0.4402,2.07957810
0.4412,2.07957830
0.4422,2.07957851
0.4432,2.07957871
0.4442,2.07957890
0.4453,2.07957910
0.4463,2.07957929
0.4473,2.07957948
0.4483,2.07957967
0.4493,2.07957986
0.4503,2.07958004
0.4514,2.07958022
0.4524,2.07958040
0.4534,2.07958058
0.4544,2.07958075
0.4554,2.07958092
0.4564,2.07958109
0.4575,2.07958126
0.4585,2.07958143
0.4595,2.07958159
0.4605,2.07958175
0.4615,2.07958191
0.4625,2.07958207
0.4636,2.07958223
0.4646,2.07958238
0.4656,2.07958253
0.4666,2.07958268
0.4676,2.07958283
0.4686,2.07958298
0.4697,2.07958312
0.4707,2.07958326
0.4717,2.07958341
0.4727,2.07958354
0.4737,2.07958368
0.4747,2.07958382
0.4758,2.07958395
0.4768,2.07958408
0.4778,2.07958422
0.4788,2.07958434
0.4798,2.07958447
0.4808,2.07958460
0.4819,2.07958472
0.4829,2.07958485
0.4839,2.07958497
0.4849,2.07958509
0.4859,2.07958521
0.4869,2.07958532
0.4880,2.07958544
0.4890,2.07958555
0.4900,2.07958567
0.4910,2.07958578
0.4920,2.07958589
0.4930,2.07958600
0.4941,2.07958610
0.4951,2.07958621
0.4961,2.07958631
0.4971,2.07958642
0.4981,2.07958652
0.4991,2.07958662
0.5002,2.07958672
0.5012,2.07958682
0.5022,2.07958691
0.5032,2.07958701
0.5042,2.07958710
0.5052,2.07958720
0.5062,2.07958729
0.5073,2.07958738
0.5083,2.07958747
0.5093,2.07958756
0.5103,2.07958765
0.5113,2.07958774
0.5123,2.07958782
0.5134,2.07958791
0.5144,2.07958799
0.5154,2.07958807
0.5164,2.07958815
0.5174,2.07958823
0.5184,2.07958831
0.5195,2.07958839
0.5205,2.07958847
0.5215,2.07958855
0.5225,2.07958862
0.5235,2.07958870
0.5245,2.07958877
0.5256,2.07958885
0.5266,2.07958892
0.5276,2.07958899
0.5286,2.07958906
0.5296,2.07958913
0.5306,2.07958920
0.5317,2.07958926
0.5327,2.07958933
0.5337,2.07958940
0.5347,2.07958946
0.5357,2.07958953
0.5367,2.07958959
0.5378,2.07958965
0.5388,2.07958972
0.5398,2.07958978
0.5408,2.07958984
0.5418,2.07958990
0.5428,2.07958996
0.5439,2.07959002
0.5449,2.07959008
0.5459,2.07959013
0.5469,2.07959019
0.5479,2.07959024
0.5489,2.07959030
0.5500,2.07959035
0.5510,2.07959041
0.5520,2.07959046
0.5530,2.07959051
0.5540,2.07959057
0.5550,2.07959062
0.5561,2.07959067
0.5571,2.07959072
0.5581,2.07959077
0.5591,2.07959081
0.5601,2.07959086
0.5611,2.07959091
0.5622,2.07959096
0.5632,2.07959100
0.5642,2.07959105
0.5652,2.07959110
0.5662,2.07959114
0.5672,2.07959118
0.5683,2.07959123
0.5693,2.07959127
0.5703,2.07959131
0.5713,2.07959136
0.5723,2.07959140
0.5733,2.07959144
0.5744,2.07959148
0.5754,2.07959152
0.5764,2.07959156
0.5774,2.07959160
0.5784,2.07959164
0.5794,2.07959168
0.5805,2.07959171
0.5815,2.07959175
0.5825,2.07959179
0.5835,2.07959182
0.5845,2.07959186
0.5855,2.07959190
0.5866,2.07959193
0.5876,2.07959196
0.5886,2.07959200
0.5896,2.07959203
0.5906,2.07959207
0.5916,2.07959210
0.5927,2.07959213
0.5937,2.07959216
0.5947,2.07959220
0.5957,2.07959223
0.5967,2.07959226
0.5977,2.07959229
0.5988,2.07959232
0.5998,2.07959235
0.6008,2.07959238
0.6018,2.07959241
0.6028,2.07959244
0.6038,2.07959247
0.6049,2.07959249
0.6059,2.07959252
0.6069,2.07959255
0.6079,2.07959258
0.6089,2.07959260
0.6099,2.07959263
0.6110,2.07959266
0.6120,2.07959268
0.6130,2.07959271
0.6140,2.07959273
0.6150,2.07959276
0.6160,2.07959278
0.6171,2.07959281
0.6181,2.07959283
0.6191,2.07959286
0.6201,2.07959288
0.6211,2.07959290
0.6221,2.07959293
0.6232,2.07959295
0.6242,2.07959297
0.6252,2.07959299
0.6262,2.07959302
0.6272,2.07959304
0.6282,2.07959306
0.6293,2.07959308
0.6303,2.07959310
0.6313,2.07959312
0.6323,2.07959314
0.6333,2.07959316
0.6343,2.07959318
0.6354,2.07959320
0.6364,2.07959322
0.6374,2.07959324
0.6384,2.07959326
0.6394,2.07959328
0.6404,2.07959330
0.6415,2.07959332
0.6425,2.07959334
0.6435,2.07959335
0.6445,2.07959337
0.6455,2.07959339
0.6465,2.07959341
0.6476,2.07959342
0.6486,2.07959344
0.6496,2.07959346
0.6506,2.07959347
0.6516,2.07959349
0.6526,2.07959351
0.6537,2.07959352
0.6547,2.07959354
0.6557,2.07959355
0.6567,2.07959357
0.6577,2.07959358
0.6587,2.07959360
0.6598,2.07959361
0.6608,2.07959363
0.6618,2.07959364
0.6628,2.07959366
0.6638,2.07959367
0.6648,2.07959369
0.6659,2.07959370
0.6669,2.07959371
0.6679,2.07959373
0.6689,2.07959374
0.6699,2.07959376
0.6709,2.07959377
0.6720,2.07959378
0.6730,2.07959379
0.6740,2.07959381
0.6750,2.07959382
0.6760,2.07959383
0.6770,2.07959384
0.6780,2.07959386
0.6791,2.07959387
0.6801,2.07959388
0.6811,2.07959389
0.6821,2.07959390
0.6831,2.07959391
0.6841,2.07959393
0.6852,2.07959394
0.6862,2.07959395
0.6872,2.07959396
0.6882,2.07959397
0.6892,2.07959398
0.6902,2.07959399
0.6913,2.07959400
0.6923,2.07959401
0.6933,2.07959402
0.6943,2.07959403
0.6953,2.07959404
0.6963,2.07959405
0.6974,2.07959406
0.6984,2.07959407
0.6994,2.07959408
0.7004,2.07959409
0.7014,2.07959410
0.7024,2.07959411
0.7035,2.07959412
0.7045,2.07959413
0.7055,2.07959414
0.7065,2.07959415
0.7075,2.07959415
0.7085,2.07959416
0.7096,2.07959417
0.7106,2.07959418
0.7116,2.07959419
0.7126,2.07959420
0.7136,2.07959420
0.7146,2.07959421
0.7157,2.07959422
0.7167,2.07959423
0.7177,2.07959424
0.7187,2.07959424
0.7197,2.07959425
0.7207,2.07959426
0.7218,2.07959427
0.7228,2.07959427
0.7238,2.07959428
0.7248,2.07959429
0.7258,2.07959429
0.7268,2.07959430
0.7279,2.07959431
0.7289,2.07959432
0.7299,2.07959432
0.7309,2.07959433
0.7319,2.07959434
0.7329,2.07959434
0.7340,2.07959435
0.7350,2.07959435
0.7360,2.07959436
0.7370,2.07959437
0.7380,2.07959437
0.7390,2.07959438
0.7401,2.07959439
0.7411,2.07959439
0.7421,2.07959440
0.7431,2.07959440
0.7441,2.07959441
0.7451,2.07959441
0.7462,2.07959442
0.7472,2.07959443
0.7482,2.07959443
0.7492,2.07959444
0.7502,2.07959444
0.7512,2.07959445
0.7523,2.07959445
0.7533,2.07959446
0.7543,2.07959446
0.7553,2.07959447
0.7563,2.07959447
0.7573,2.07959448
0.7584,2.07959448
0.7594,2.07959449
0.7604,2.07959449
0.7614,2.07959450
0.7624,2.07959450
0.7634,2.07959451
0.7645,2.07959451
0.7655,2.07959452
0.7665,2.07959452
0.7675,2.07959452
0.7685,2.07959453
0.7695,2.07959453
0.7706,2.07959454
0.7716,2.07959454
0.7726,2.07959455
0.7736,2.07959455
0.7746,2.07959455
0.7756,2.07959456
0.7767,2.07959456
0.7777,2.07959457
0.7787,2.07959457
0.7797,2.07959457
0.7807,2.07959458
0.7817,2.07959458
0.7828,2.07959459
0.7838,2.07959459
0.7848,2.07959459
0.7858,2.07959460
0.7868,2.07959460
0.7878,2.07959460
0.7889,2.07959461
0.7899,2.07959461
0.7909,2.07959461
0.7919,2.07959462
0.7929,2.07959462
0.7939,2.07959462
0.7950,2.07959463
0.7960,2.07959463
0.7970,2.07959463
0.7980,2.07959464
0.7990,2.07959464
0.8000,2.07959464
