t,Nu
0.0001,0.99999546
0.0010,1.00013255
0.0020,1.00167030
0.0030,1.00703887
0.0041,1.01901594
0.0051,1.04033885
0.0061,1.07344258
0.0071,1.12010025
0.0081,1.18092510
0.0091,1.25493929
0.0102,1.33947943
0.0112,1.43056186
0.0122,1.52358839
0.0132,1.61411994
0.0142,1.69847661
0.0152,1.77404811
0.0163,1.83933858
0.0173,1.89383127
0.0183,1.93776889
0.0193,1.97193495
0.0203,1.99745045
0.0213,2.01561560
0.0224,2.02778095
0.0234,2.03525133
0.0244,2.03921876
0.0254,2.04071894
0.0264,2.04061516
0.0274,2.03959593
0.0285,2.03818503
0.0295,2.03676053
0.0305,2.03557886
0.0315,2.03479556
0.0325,2.03448992
0.0335,2.03468178
0.0346,2.03535010
0.0356,2.03644574
0.0366,2.03790274
0.0376,2.03964663
0.0386,2.04160230
0.0396,2.04369834
0.0407,2.04586936
0.0417,2.04805840
0.0427,2.05021741
0.0437,2.05230832
0.0447,2.05430233
0.0457,2.05617992
0.0468,2.05792537
0.0478,2.05953204
0.0488,2.06100319
0.0498,2.06234331
0.0508,2.06355910
0.0518,2.06465945
0.0529,2.06565375
0.0539,2.06655273
0.0549,2.06736709
0.0559,2.06810705
0.0569,2.06878192
0.0579,2.06940069
0.0590,2.06997114
0.0600,2.07050004
0.0610,2.07099305
0.0620,2.07145483
0.0630,2.07188935
0.0640,2.07229979
0.0651,2.07268867
0.0661,2.07305743
0.0671,2.07340878
0.0681,2.07374347
0.0691,2.07406264
0.0701,2.07436648
0.0712,2.07465574
0.0722,2.07492971
0.0732,2.07518817
0.0742,2.07543194
0.0752,2.07566261
0.0762,2.07588030
0.0773,2.07608543
0.0783,2.07627919
0.0793,2.07646205
0.0803,2.07663465
0.0813,2.07679763
0.0823,2.07695135
0.0834,2.07709642
0.0844,2.07723231
0.0854,2.07735896
0.0864,2.07747847
0.0874,2.07759147
0.0884,2.07769859
0.0895,2.07780043
0.0905,2.07789723
0.0915,2.07798472
0.0925,2.07806833
0.0935,2.07814225
0.0945,2.07821532
0.0956,2.07828834
0.0966,2.07835389
0.0976,2.07841811
0.0986,2.07844182
0.0996,2.07845664
0.1006,2.07847144
0.1017,2.07848615
0.1027,2.07850069
0.1037,2.07851503
0.1047,2.07852911
0.1057,2.07854292
0.1067,2.07855644
0.1078,2.07856967
0.1088,2.07858261
0.1098,2.07859528
0.1108,2.07860769
0.1118,2.07861985
0.1128,2.07863177
0.1139,2.07864348
0.1149,2.07865499
0.1159,2.07866631
0.1169,2.07867746
0.1179,2.07868845
0.1189,2.07869929
0.1200,2.07871000
0.1210,2.07872057
0.1220,2.07873102
0.1230,2.07874135
0.1240,2.07875158
0.1250,2.07876170
0.1261,2.07877172
0.1271,2.07878164
0.1281,2.07879146
0.1291,2.07880119
0.1301,2.07881083
0.1311,2.07882037
0.1322,2.07882983
0.1332,2.07883919
0.1342,2.07884847
0.1352,2.07885765
0.1362,2.07886675
0.1372,2.07887575
0.1383,2.07888466
0.1393,2.07889349
0.1403,2.07890222
0.1413,2.07891086
0.1423,2.07891941
0.1433,2.07892786
0.1444,2.07893623
0.1454,2.07894450
0.1464,2.07895268
0.1474,2.07896077
0.1484,2.07896877
0.1494,2.07897667
0.1505,2.07898449
0.1515,2.07899221
0.1525,2.07899984
0.1535,2.07900738
0.1545,2.07901483
0.1555,2.07902219
0.1566,2.07902946
0.1576,2.07903664
0.1586,2.07904373
0.1596,2.07905074
0.1606,2.07905766
0.1616,2.07906449
0.1627,2.07907124
0.1637,2.07907791
0.1647,2.07908449
0.1657,2.07909099
0.1667,2.07909740
0.1677,2.07910374
0.1687,2.07910999
0.1698,2.07911617
0.1708,2.07912226
0.1718,2.07912828
0.1728,2.07913422
0.1738,2.07914009
0.1748,2.07914588
0.1759,2.07915160
0.1769,2.07915724
0.1779,2.07916281
0.1789,2.07916831
0.1799,2.07917374
0.1809,2.07917910
0.1820,2.07918440
0.1830,2.07918962
0.1840,2.07919477
0.1850,2.07919986
0.1860,2.07920489
0.1870,2.07920985
0.1881,2.07921475
0.1891,2.07921958
0.1901,2.07922435
0.1911,2.07922906
0.1921,2.07923371
0.1931,2.07923830
0.1942,2.07924283
0.1952,2.07924730
0.1962,2.07925172
0.1972,2.07925608
0.1982,2.07926038
0.1992,2.07926463
0.2003,2.07926882
0.2013,2.07927296
0.2023,2.07927704
0.2033,2.07928108
0.2043,2.07928506
0.2053,2.07928899
0.2064,2.07929287
0.2074,2.07929670
0.2084,2.07930048
0.2094,2.07930421
0.2104,2.07930790
0.2114,2.07931153
0.2125,2.07931513
0.2135,2.07931867
0.2145,2.07932217
0.2155,2.07932563
0.2165,2.07932904
0.2175,2.07933240
0.2186,2.07933573
0.2196,2.07933901
0.2206,2.07934225
0.2216,2.07934544
0.2226,2.07934860
0.2236,2.07935172
0.2247,2.07935479
0.2257,2.07935783
0.2267,2.07936083
0.2277,2.07936379
0.2287,2.07936671
0.2297,2.07936960
0.2308,2.07937245
0.2318,2.07937526
0.2328,2.07937803
0.2338,2.07938077
0.2348,2.07938348
0.2358,2.07938615
0.2369,2.07938879
0.2379,2.07939139
0.2389,2.07939396
0.2399,2.07939650
0.2409,2.07939900
0.2419,2.07940148
0.2430,2.07940392
0.2440,2.07940633
0.2450,2.07940871
0.2460,2.07941106
0.2470,2.07941338
0.2480,2.07941567
0.2491,2.07941793
0.2501,2.07942016
0.2511,2.07942236
0.2521,2.07942454
0.2531,2.07942669
0.2541,2.07942881
0.2552,2.07943090
0.2562,2.07943297
0.2572,2.07943501
0.2582,2.07943702
0.2592,2.07943901
0.2602,2.07944097
0.2613,2.07944291
0.2623,2.07944483
0.2633,2.07944672
0.2643,2.07944858
0.2653,2.07945042
0.2663,2.07945224
0.2674,2.07945404
0.2684,2.07945581
0.2694,2.07945756
0.2704,2.07945929
0.2714,2.07946100
0.2724,2.07946268
0.2735,2.07946434
0.2745,2.07946599
0.2755,2.07946761
0.2765,2.07946921
0.2775,2.07947079
0.2785,2.07947235
0.2796,2.07947389
0.2806,2.07947541
0.2816,2.07947691
0.2826,2.07947839
0.2836,2.07947986
0.2846,2.07948130
0.2857,2.07948273
0.2867,2.07948414
0.2877,2.07948553
0.2887,2.07948690
0.2897,2.07948826
0.2907,2.07948959
0.2918,2.07949092
0.2928,2.07949222
0.2938,2.07949351
0.2948,2.07949478
0.2958,2.07949604
0.2968,2.07949728
0.2979,2.07949850
0.2989,2.07949971
0.2999,2.07950090
0.3009,2.07950208
0.3019,2.07950325
