t,Nu
0.0000,0.99999712
0.0002,1.00001721
0.0004,1.00025189
0.0005,1.00118802
0.0007,1.00353743
0.0009,1.00821388
0.0011,1.01632881
0.0013,1.02921329
0.0014,1.04845019
0.0016,1.07588321
0.0018,1.11368995
0.0020,1.16424459
0.0021,1.23005823
0.0023,1.31340230
0.0025,1.41615576
0.0027,1.53934221
0.0029,1.68280335
0.0030,1.84504697
0.0032,2.02304728
0.0034,2.21249400
0.0036,2.40822175
0.0038,2.60459775
0.0039,2.79606493
0.0041,2.97764862
0.0043,3.14535499
0.0045,3.29639728
0.0047,3.42922690
0.0048,3.54339803
0.0050,3.63932607
0.0052,3.71800388
0.0054,3.78081789
0.0056,3.82924057
0.0057,3.86473700
0.0059,3.88867112
0.0061,3.90226517
0.0063,3.90660109
0.0064,3.90265121
0.0066,3.89133145
0.0068,3.87351518
0.0070,3.85007771
0.0072,3.82193493
0.0073,3.78999045
0.0075,3.75512451
0.0077,3.71817040
0.0079,3.67989189
0.0081,3.64096647
0.0082,3.60197613
0.0084,3.56340508
0.0086,3.52564300
0.0088,3.48899208
0.0090,3.45367629
0.0091,3.41985153
0.0093,3.38761581
0.0095,3.35701492
0.0097,3.32805803
0.0098,3.30072934
0.0100,3.27498467
0.0102,3.25075986
0.0104,3.22797688
0.0106,3.20654882
0.0107,3.18638406
0.0109,3.16738991
0.0111,3.14947570
0.0113,3.13255533
0.0115,3.11654949
0.0116,3.10138724
0.0118,3.08700723
0.0120,3.07335834
0.0122,3.06039997
0.0124,3.04810182
0.0125,3.03644331
0.0127,3.02541272
0.0129,3.01500608
0.0131,3.00522585
0.0133,2.99607953
0.0134,2.98757823
0.0136,2.97973528
0.0138,2.97256485
0.0140,2.96608078
0.0141,2.96029542
0.0143,2.95521874
0.0145,2.95085753
0.0147,2.94721476
0.0149,2.94428915
0.0150,2.94207478
0.0152,2.94056095
0.0154,2.93973206
0.0156,2.93956761
0.0158,2.94004236
0.0159,2.94112643
0.0161,2.94278553
0.0163,2.94498129
0.0165,2.94767150
0.0167,2.95081053
0.0168,2.95434964
0.0170,2.95823745
0.0172,2.96242037
0.0174,2.96684302
0.0175,2.97144880
0.0177,2.97618032
0.0179,2.98098001
0.0181,2.98579062
0.0183,2.99055580
0.0184,2.99522071
0.0186,2.99973254
0.0188,3.00404108
0.0190,3.00809931
0.0192,3.01186389
0.0193,3.01529563
0.0195,3.01835994
0.0197,3.02102719
0.0199,3.02327302
0.0201,3.02507854
0.0202,3.02643045
0.0204,3.02732110
0.0206,3.02774842
0.0208,3.02771575
0.0210,3.02723161
0.0211,3.02630938
0.0213,3.02496687
0.0215,3.02322588
0.0217,3.02111166
0.0218,3.01865237
0.0220,3.01587854
0.0222,3.01282244
0.0224,3.00951760
0.0226,3.00599819
0.0227,3.00229859
0.0229,2.99845287
0.0231,2.99449438
0.0233,2.99045539
0.0235,2.98636672
0.0236,2.98225752
0.0238,2.97815500
0.0240,2.97408429
0.0242,2.97006829
0.0244,2.96612761
0.0245,2.96228049
0.0247,2.95854286
0.0249,2.95493850
0.0251,2.95149195
0.0252,2.94819153
0.0254,2.94503807
0.0256,2.94203668
0.0258,2.93919070
