t,Nu
0.0455,3.90374007
0.0457,3.90390885
0.0458,3.90407279
0.0460,3.90423222
0.0462,3.90438743
0.0464,3.90453876
0.0466,3.90468650
0.0467,3.90483095
0.0469,3.90497242
0.0471,3.90511117
0.0473,3.90524747
0.0475,3.90538157
0.0476,3.90551369
0.0478,3.90564404
0.0480,3.90577281
0.0482,3.90590018
0.0483,3.90602629
0.0485,3.90615129
0.0487,3.90627530
0.0489,3.90639841
0.0491,3.90652071
0.0492,3.90664228
0.0494,3.90676318
0.0496,3.90688346
0.0498,3.90700314
0.0500,3.90712226
0.0501,3.90724084
0.0503,3.90735887
0.0505,3.90747636
0.0507,3.90759329
0.0509,3.90770966
0.0510,3.90782543
0.0512,3.90794059
0.0514,3.90805509
0.0516,3.90816891
0.0518,3.90828200
0.0519,3.90839431
0.0521,3.90850582
0.0523,3.90861645
0.0525,3.90872618
0.0526,3.90883495
0.0528,3.90894270
0.0530,3.90904940
0.0532,3.90915500
0.0534,3.90925945
0.0535,3.90936269
0.0537,3.90946470
0.0539,3.90956542
0.0541,3.90966483
0.0543,3.90976288
0.0544,3.90985953
0.0546,3.90995477
0.0548,3.91004857
0.0550,3.91014089
0.0552,3.91023173
0.0553,3.91032107
0.0555,3.91040889
0.0557,3.91049520
0.0559,3.91057998
0.0560,3.91066325
0.0562,3.91074500
0.0564,3.91082524
0.0566,3.91090400
0.0568,3.91098128
0.0569,3.91105711
0.0571,3.91113151
0.0573,3.91120452
0.0575,3.91127617
0.0577,3.91134654
0.0578,3.91141570
0.0580,3.91148374
0.0582,3.91155067
0.0584,3.91160884
0.0586,3.91164634
0.0587,3.91168299
0.0589,3.91171916
0.0591,3.91175477
0.0593,3.91178974
0.0595,3.91182404
0.0596,3.91185761
0.0598,3.91189045
0.0600,3.91192255
0.0602,3.91195391
0.0603,3.91198456
0.0605,3.91201451
0.0607,3.91204379
0.0609,3.91207245
0.0611,3.91210052
0.0612,3.91212804
0.0614,3.91215507
0.0616,3.91218166
0.0618,3.91220785
0.0620,3.91223370
0.0621,3.91225927
0.0623,3.91228460
0.0625,3.91230976
0.0627,3.91233477
0.0629,3.91235970
0.0630,3.91238458
0.0632,3.91240946
0.0634,3.91243436
0.0636,3.91245933
0.0637,3.91248439
0.0639,3.91250955
0.0641,3.91253485
0.0643,3.91256029
0.0645,3.91258589
0.0646,3.91261165
0.0648,3.91263757
0.0650,3.91266366
0.0652,3.91268990
0.0654,3.91271629
0.0655,3.91274281
0.0657,3.91276946
0.0659,3.91279621
0.0661,3.91282306
0.0663,3.91284997
0.0664,3.91287693
0.0666,3.91290392
0.0668,3.91293092
0.0670,3.91295790
0.0672,3.91298485
0.0673,3.91301174
0.0675,3.91303855
0.0677,3.91306526
