t,Nu
0.2338,1.75139823
0.2348,1.75139234
0.2358,1.75138652
0.2369,1.75138077
0.2379,1.75137510
0.2389,1.75136951
0.2399,1.75136399
0.2409,1.75135854
0.2419,1.75135317
0.2430,1.75134786
0.2440,1.75134263
0.2450,1.75133746
0.2460,1.75133236
0.2470,1.75132733
0.2480,1.75132236
0.2491,1.75131746
0.2501,1.75131263
0.2511,1.75130786
0.2521,1.75130315
0.2531,1.75129850
0.2541,1.75129392
0.2552,1.75128939
0.2562,1.75128493
0.2572,1.75128052
0.2582,1.75127617
0.2592,1.75127189
0.2602,1.75126765
0.2613,1.75126348
0.2623,1.75125935
0.2633,1.75125529
0.2643,1.75125127
0.2653,1.75124732
0.2663,1.75124341
0.2674,1.75123955
0.2684,1.75123575
0.2694,1.75123200
0.2704,1.75122829
0.2714,1.75122464
0.2724,1.75122103
0.2735,1.75121748
0.2745,1.75121397
0.2755,1.75121050
0.2765,1.75120708
0.2775,1.75120371
0.2785,1.75120039
0.2796,1.75119710
0.2806,1.75119387
0.2816,1.75119067
0.2826,1.75118752
0.2836,1.75118441
0.2846,1.75118134
0.2857,1.75117831
0.2867,1.75117532
0.2877,1.75117238
0.2887,1.75116947
0.2897,1.75116660
0.2907,1.75116377
0.2918,1.75116097
0.2928,1.75115822
0.2938,1.75115550
0.2948,1.75115282
0.2958,1.75115017
0.2968,1.75114756
0.2979,1.75114499
0.2989,1.75114245
0.2999,1.75113994
0.3009,1.75113747
0.3019,1.75113503
0.3029,1.75113262
0.3040,1.75113025
0.3050,1.75112790
0.3060,1.75112559
0.3070,1.75112331
0.3080,1.75112106
0.3090,1.75111884
0.3101,1.75111665
0.3111,1.75111449
0.3121,1.75111236
0.3131,1.75111026
0.3141,1.75110819
0.3151,1.75110614
0.3162,1.75110413
0.3172,1.75110214
0.3182,1.75110017
0.3192,1.75109824
0.3202,1.75109632
0.3212,1.75109444
0.3223,1.75109258
0.3233,1.75109075
0.3243,1.75108894
0.3253,1.75108715
0.3263,1.75108539
0.3273,1.75108365
0.3284,1.75108194
0.3294,1.75108025
0.3304,1.75107858
0.3314,1.75107694
0.3324,1.75107532
0.3334,1.75107372
0.3345,1.75107214
0.3355,1.75107058
0.3365,1.75106904
0.3375,1.75106753
0.3385,1.75106603
0.3395,1.75106456
0.3405,1.75106311
0.3416,1.75106167
0.3426,1.75106026
0.3436,1.75105886
0.3446,1.75105749
0.3456,1.75105613
0.3466,1.75105479
0.3477,1.75105347
0.3487,1.75105216
0.3497,1.75105088
0.3507,1.75104961
0.3517,1.75104836
0.3527,1.75104713
0.3538,1.75104591
0.3548,1.75104471
0.3558,1.75104353
0.3568,1.75104236
0.3578,1.75104121
0.3588,1.75104007
0.3599,1.75103895
0.3609,1.75103785
0.3619,1.75103676
0.3629,1.75103569
0.3639,1.75103463
0.3649,1.75103358
0.3660,1.75103255
0.3670,1.75103153
0.3680,1.75103053
0.3690,1.75102954
0.3700,1.75102856
0.3710,1.75102760
0.3721,1.75102665
0.3731,1.75102572
0.3741,1.75102479
0.3751,1.75102388
0.3761,1.75102299
0.3771,1.75102210
0.3782,1.75102123
0.3792,1.75102037
0.3802,1.75101952
0.3812,1.75101868
0.3822,1.75101785
0.3832,1.75101704
0.3843,1.75101623
0.3853,1.75101544
0.3863,1.75101466
0.3873,1.75101389
0.3883,1.75101313
0.3893,1.75101238
0.3904,1.75101164
0.3914,1.75101091
0.3924,1.75101019
0.3934,1.75100948
0.3944,1.75100878
0.3954,1.75100809
0.3965,1.75100741
0.3975,1.75100674
0.3985,1.75100608
0.3995,1.75100543
0.4005,1.75100478
0.4015,1.75100415
0.4026,1.75100352
0.4036,1.75100291
0.4046,1.75100230
0.4056,1.75100170
0.4066,1.75100111
0.4076,1.75100052
0.4087,1.75099995
0.4097,1.75099938
0.4107,1.75099882
0.4117,1.75099827
0.4127,1.75099773
0.4137,1.75099719
0.4148,1.75099666
0.4158,1.75099614
0.4168,1.75099562
0.4178,1.75099512
0.4188,1.75099462
0.4198,1.75099412
0.4209,1.75099364
0.4219,1.75099316
0.4229,1.75099269
0.4239,1.75099222
0.4249,1.75099176
0.4259,1.75099131
0.4270,1.75099086
0.4280,1.75099042
0.4290,1.75098998
0.4300,1.75098955
0.4310,1.75098913
0.4320,1.75098872
0.4331,1.75098830
0.4341,1.75098790
0.4351,1.75098750
0.4361,1.75098711
0.4371,1.75098672
0.4381,1.75098633
0.4392,1.75098596
0.4402,1.75098558
0.4412,1.75098522
0.4422,1.75098486
0.4432,1.75098450
0.4442,1.75098415
0.4453,1.75098380
0.4463,1.75098346
0.4473,1.75098312
0.4483,1.75098279
0.4493,1.75098246
0.4503,1.75098214
0.4514,1.75098182
0.4524,1.75098150
0.4534,1.75098119
0.4544,1.75098089
0.4554,1.75098059
0.4564,1.75098029
0.4575,1.75098000
0.4585,1.75097971
0.4595,1.75097942
0.4605,1.75097914
0.4615,1.75097887
0.4625,1.75097859
0.4636,1.75097833
0.4646,1.75097806
0.4656,1.75097780
0.4666,1.75097754
0.4676,1.75097729
0.4686,1.75097704
0.4697,1.75097679
0.4707,1.75097655
0.4717,1.75097631
0.4727,1.75097607
0.4737,1.75097584
0.4747,1.75097561
0.4758,1.75097538
0.4768,1.75097516
0.4778,1.75097494
0.4788,1.75097472
0.4798,1.75097451
0.4808,1.75097430
0.4819,1.75097409
0.4829,1.75097388
0.4839,1.75097368
0.4849,1.75097348
0.4859,1.75097328
0.4869,1.75097309
0.4880,1.75097290
0.4890,1.75097271
0.4900,1.75097253
0.4910,1.75097234
0.4920,1.75097216
0.4930,1.75097199
0.4941,1.75097181
0.4951,1.75097164
0.4961,1.75097147
0.4971,1.75097130
0.4981,1.75097113
0.4991,1.75097097
0.5002,1.75097081
0.5012,1.75097065
0.5022,1.75097050
0.5032,1.75097034
0.5042,1.75097019
0.5052,1.75097004
0.5062,1.75096989
0.5073,1.75096975
0.5083,1.75096960
0.5093,1.75096946
0.5103,1.75096932
0.5113,1.75096919
0.5123,1.75096905
0.5134,1.75096892
0.5144,1.75096879
0.5154,1.75096866
0.5164,1.75096853
0.5174,1.75096840
0.5184,1.75096828
0.5195,1.75096816
0.5205,1.75096804
0.5215,1.75096792
0.5225,1.75096780
0.5235,1.75096769
0.5245,1.75096757
0.5256,1.75096746
0.5266,1.75096735
0.5276,1.75096724
0.5286,1.75096713
0.5296,1.75096703
0.5306,1.75096692
0.5317,1.75096682
0.5327,1.75096672
0.5337,1.75096662
0.5347,1.75096652
0.5357,1.75096643
0.5367,1.75096633
0.5378,1.75096624
0.5388,1.75096614
0.5398,1.75096605
0.5408,1.75096596
0.5418,1.75096587
0.5428,1.75096579
0.5439,1.75096570
0.5449,1.75096562
0.5459,1.75096553
0.5469,1.75096545
0.5479,1.75096537
0.5489,1.75096529
0.5500,1.75096521
0.5510,1.75096513
0.5520,1.75096505
0.5530,1.75096498
0.5540,1.75096491
0.5550,1.75096483
0.5561,1.75096476
0.5571,1.75096469
0.5581,1.75096462
0.5591,1.75096455
0.5601,1.75096448
0.5611,1.75096441
0.5622,1.75096435
0.5632,1.75096428
0.5642,1.75096422
0.5652,1.75096415
0.5662,1.75096409
0.5672,1.75096403
0.5683,1.75096397
0.5693,1.75096391
0.5703,1.75096385
0.5713,1.75096379
0.5723,1.75096374
0.5733,1.75096368
0.5744,1.75096363
0.5754,1.75096357
0.5764,1.75096352
0.5774,1.75096346
0.5784,1.75096341
0.5794,1.75096336
0.5805,1.75096331
0.5815,1.75096326
0.5825,1.75096321
0.5835,1.75096316
0.5845,1.75096311
0.5855,1.75096307
0.5866,1.75096302
0.5876,1.75096298
0.5886,1.75096293
0.5896,1.75096289
0.5906,1.75096284
0.5916,1.75096280
0.5927,1.75096276
0.5937,1.75096272
0.5947,1.75096268
0.5957,1.75096263
0.5967,1.75096259
0.5977,1.75096256
0.5988,1.75096252
0.5998,1.75096248
0.6008,1.75096244
0.6018,1.75096240
0.6028,1.75096237
0.6038,1.75096233
0.6049,1.75096230
0.6059,1.75096226
0.6069,1.75096223
0.6079,1.75096219
0.6089,1.75096216
0.6099,1.75096213
0.6110,1.75096210
0.6120,1.75096206
0.6130,1.75096203
0.6140,1.75096200
0.6150,1.75096197
0.6160,1.75096194
0.6171,1.75096191
0.6181,1.75096188
0.6191,1.75096185
0.6201,1.75096183
0.6211,1.75096180
0.6221,1.75096177
0.6232,1.75096174
0.6242,1.75096172
0.6252,1.75096169
0.6262,1.75096167
0.6272,1.75096164
0.6282,1.75096162
0.6293,1.75096159
0.6303,1.75096157
0.6313,1.75096154
0.6323,1.75096152
0.6333,1.75096150
0.6343,1.75096147
0.6354,1.75096145
0.6364,1.75096143
0.6374,1.75096141
0.6384,1.75096139
0.6394,1.75096137
0.6404,1.75096134
0.6415,1.75096132
0.6425,1.75096130
0.6435,1.75096128
0.6445,1.75096127
0.6455,1.75096125
0.6465,1.75096123
0.6476,1.75096121
0.6486,1.75096119
0.6496,1.75096117
0.6506,1.75096115
0.6516,1.75096114
0.6526,1.75096112
0.6537,1.75096110
0.6547,1.75096109
0.6557,1.75096107
0.6567,1.75096105
0.6577,1.75096104
0.6587,1.75096102
0.6598,1.75096101
0.6608,1.75096099
0.6618,1.75096098
0.6628,1.75096096
0.6638,1.75096095
0.6648,1.75096093
0.6659,1.75096092
0.6669,1.75096091
0.6679,1.75096089
0.6689,1.75096088
0.6699,1.75096087
0.6709,1.75096085
0.6720,1.75096084
0.6730,1.75096083
0.6740,1.75096082
0.6750,1.75096080
0.6760,1.75096079
0.6770,1.75096078
0.6780,1.75096077
0.6791,1.75096076
0.6801,1.75096075
0.6811,1.75096073
0.6821,1.75096072
0.6831,1.75096071
0.6841,1.75096070
0.6852,1.75096069
0.6862,1.75096068
0.6872,1.75096067
0.6882,1.75096066
0.6892,1.75096065
0.6902,1.75096064
0.6913,1.75096063
0.6923,1.75096063
0.6933,1.75096062
0.6943,1.75096061
0.6953,1.75096060
0.6963,1.75096059
0.6974,1.75096058
0.6984,1.75096057
0.6994,1.75096056
0.7004,1.75096056
0.7014,1.75096055
0.7024,1.75096054
0.7035,1.75096053
0.7045,1.75096053
0.7055,1.75096052
0.7065,1.75096051
0.7075,1.75096050
0.7085,1.75096050
0.7096,1.75096049
0.7106,1.75096048
0.7116,1.75096048
0.7126,1.75096047
0.7136,1.75096046
0.7146,1.75096046
0.7157,1.75096045
0.7167,1.75096044
0.7177,1.75096044
0.7187,1.75096043
0.7197,1.75096043
0.7207,1.75096042
0.7218,1.75096041
0.7228,1.75096041
0.7238,1.75096040
0.7248,1.75096040
0.7258,1.75096039
0.7268,1.75096039
0.7279,1.75096038
0.7289,1.75096038
0.7299,1.75096037
0.7309,1.75096037
0.7319,1.75096036
0.7329,1.75096036
0.7340,1.75096035
0.7350,1.75096035
0.7360,1.75096035
0.7370,1.75096034
0.7380,1.75096034
0.7390,1.75096033
0.7401,1.75096033
0.7411,1.75096032
0.7421,1.75096032
0.7431,1.75096032
0.7441,1.75096031
0.7451,1.75096031
0.7462,1.75096031
0.7472,1.75096030
0.7482,1.75096030
0.7492,1.75096030
0.7502,1.75096029
0.7512,1.75096029
0.7523,1.75096029
0.7533,1.75096028
0.7543,1.75096028
0.7553,1.75096028
0.7563,1.75096027
0.7573,1.75096027
0.7584,1.75096027
0.7594,1.75096026
0.7604,1.75096026
0.7614,1.75096026
0.7624,1.75096026
0.7634,1.75096025
0.7645,1.75096025
0.7655,1.75096025
0.7665,1.75096024
0.7675,1.75096024
0.7685,1.75096024
0.7695,1.75096024
0.7706,1.75096024
0.7716,1.75096023
0.7726,1.75096023
0.7736,1.75096023
0.7746,1.75096023
0.7756,1.75096022
0.7767,1.75096022
0.7777,1.75096022
0.7787,1.75096022
0.7797,1.75096022
0.7807,1.75096021
0.7817,1.75096021
0.7828,1.75096021
0.7838,1.75096021
0.7848,1.75096021
0.7858,1.75096021
0.7868,1.75096020
0.7878,1.75096020
0.7889,1.75096020
0.7899,1.75096020
0.7909,1.75096020
0.7919,1.75096020
0.7929,1.75096019
0.7939,1.75096019
0.7950,1.75096019
0.7960,1.75096019
0.7970,1.75096019
0.7980,1.75096019
0.7990,1.75096019
0.8000,1.75096018
