t,Nu
0.0001,0.99999597
0.0010,1.00013129
0.0020,1.00164279
0.0030,1.00687412
0.0041,1.01842133
0.0051,1.03868173
0.0061,1.06948630
0.0071,1.11173262
0.0081,1.16509341
0.0091,1.22794166
0.0102,1.29756119
0.0112,1.37060397
0.0122,1.44362024
0.0132,1.51351034
0.0142,1.57782267
0.0152,1.63487183
0.0163,1.68371515
0.0173,1.72405001
0.0183,1.75607812
0.0193,1.78036562
0.0203,1.79772164
0.0213,1.80909758
0.0224,1.81550497
0.0234,1.81794949
0.0244,1.81737972
0.0254,1.81464987
0.0264,1.81049784
0.0274,1.80553749
0.0285,1.80025552
0.0295,1.79501975
0.0305,1.79009350
0.0315,1.78564858
0.0325,1.78178061
0.0335,1.77853342
0.0346,1.77590008
0.0356,1.77384436
0.0366,1.77230875
0.0376,1.77122270
0.0386,1.77051045
0.0396,1.77009645
0.0407,1.76990872
0.0417,1.76988236
0.0427,1.76996036
0.0437,1.77009455
0.0447,1.77024569
0.0457,1.77038308
0.0468,1.77048391
0.0478,1.77053238
0.0488,1.77051811
0.0498,1.77043663
0.0508,1.77028718
0.0518,1.77007219
0.0529,1.76979611
0.0539,1.76946534
0.0549,1.76908712
0.0559,1.76866951
0.0569,1.76822003
0.0579,1.76774647
0.0590,1.76725566
0.0600,1.76675395
0.0610,1.76624682
0.0620,1.76573910
0.0630,1.76523466
0.0640,1.76473684
0.0651,1.76424818
0.0661,1.76377076
0.0671,1.76330575
0.0681,1.76285409
0.0691,1.76241680
0.0701,1.76199393
0.0712,1.76158541
0.0722,1.76119218
0.0732,1.76081429
0.0742,1.76044900
0.0752,1.76009509
0.0762,1.75975337
0.0773,1.75942369
0.0783,1.75910561
0.0793,1.75879866
0.0803,1.75850231
0.0813,1.75821613
0.0823,1.75793973
0.0834,1.75767275
0.0844,1.75741486
0.0854,1.75716577
0.0864,1.75692518
0.0874,1.75669285
0.0884,1.75646936
0.0895,1.75625374
0.0905,1.75604580
0.0915,1.75584511
0.0925,1.75565168
0.0935,1.75546508
0.0945,1.75528589
0.0956,1.75511425
0.0966,1.75494881
0.0976,1.75479195
0.0986,1.75464288
0.0996,1.75450255
0.1006,1.75436843
0.1017,1.75424264
0.1027,1.75412636
0.1037,1.75402910
0.1047,1.75393629
0.1057,1.75384629
0.1067,1.75375880
0.1078,1.75367390
0.1088,1.75359171
0.1098,1.75351216
0.1108,1.75343496
0.1118,1.75336174
0.1128,1.75328947
0.1139,1.75322237
0.1149,1.75316266
0.1159,1.75310951
0.1169,1.75305820
0.1179,1.75300807
0.1189,1.75295902
0.1200,1.75291111
0.1210,1.75287467
0.1220,1.75284909
0.1230,1.75282388
0.1240,1.75279890
0.1250,1.75277417
0.1261,1.75274974
0.1271,1.75272562
0.1281,1.75270186
0.1291,1.75267847
0.1301,1.75265545
0.1311,1.75263281
0.1322,1.75261056
0.1332,1.75258868
0.1342,1.75256716
0.1352,1.75254600
0.1362,1.75252519
0.1372,1.75250471
0.1383,1.75248454
0.1393,1.75246469
0.1403,1.75244513
0.1413,1.75242586
0.1423,1.75240687
0.1433,1.75238815
0.1444,1.75236968
0.1454,1.75235146
0.1464,1.75233349
0.1474,1.75231576
0.1484,1.75229826
0.1494,1.75228098
0.1505,1.75226393
0.1515,1.75224709
0.1525,1.75223046
0.1535,1.75221404
0.1545,1.75219783
0.1555,1.75218181
0.1566,1.75216600
0.1576,1.75215038
0.1586,1.75213495
0.1596,1.75211971
0.1606,1.75210466
0.1616,1.75208980
0.1627,1.75207511
0.1637,1.75206061
0.1647,1.75204629
0.1657,1.75203214
0.1667,1.75201817
0.1677,1.75200437
0.1687,1.75199074
0.1698,1.75197728
0.1708,1.75196399
0.1718,1.75195086
0.1728,1.75193790
0.1738,1.75192509
0.1748,1.75191245
0.1759,1.75189996
0.1769,1.75188763
0.1779,1.75187546
0.1789,1.75186344
0.1799,1.75185156
0.1809,1.75183984
0.1820,1.75182827
0.1830,1.75181684
0.1840,1.75180555
0.1850,1.75179441
0.1860,1.75178341
0.1870,1.75177255
0.1881,1.75176182
0.1891,1.75175123
0.1901,1.75174078
0.1911,1.75173046
0.1921,1.75172027
0.1931,1.75171021
0.1942,1.75170028
0.1952,1.75169047
0.1962,1.75168079
0.1972,1.75167123
0.1982,1.75166180
0.1992,1.75165249
0.2003,1.75164329
0.2013,1.75163422
0.2023,1.75162526
0.2033,1.75161642
0.2043,1.75160769
0.2053,1.75159907
0.2064,1.75159056
0.2074,1.75158216
0.2084,1.75157388
0.2094,1.75156569
0.2104,1.75155762
0.2114,1.75154965
0.2125,1.75154178
0.2135,1.75153401
0.2145,1.75152635
0.2155,1.75151878
0.2165,1.75151131
0.2175,1.75150394
0.2186,1.75149666
0.2196,1.75148948
0.2206,1.75148239
0.2216,1.75147540
0.2226,1.75146849
0.2236,1.75146168
0.2247,1.75145495
0.2257,1.75144831
0.2267,1.75144176
0.2277,1.75143529
0.2287,1.75142891
0.2297,1.75142261
0.2308,1.75141640
0.2318,1.75141026
0.2328,1.75140421
